comparison	kegg_pathway	ko_id	significant_compounds	pathway_compounds	significant_compounds_total	compounds_total	metabolite_index_list	kegg_compound_list	kegg_url
KP_vs_Con	Glycerolipid metabolism	ko00561	3	16	185	562	MEDN0372*210;MEDN2393;MEDN2394	C00416+C00681+C00681	https:\\www.genome.jp\dbget-bin\www_bget?map00561
KP_vs_Con	Glycerophospholipid metabolism	ko00564	38	89	185	562	MEDN0372*210;MEDN1285*215;MEDN0366*215;MEDN2369*217;MEDN1282*217;MEDN2372*221;MEDN1276*221;MEDN1269*225;MEDN1270*225;MEDP0494*269;MEDP1692*269;MEDP1346*272;MEDP0338*272;MEDP2792*272;MEDP1341*275;MEDP0495*275;MEDP1333*280;MEDP1334*280;MEDP1328*282;MEDP1330*282;MEDP2784*285;MEDP1325*285;MEDP1322*286;MEDP1321*286;MEDN0018;MEDN2373;MEDN2384;MEDN2385;MEDN2393;MEDN2394;MEDP0442;MEDP1337;MEDP1695;MEDP2746;MEDP2840;MEDP2846;MEDP2848;MEDP2849	C00416+C04438+C04438+C04438+C04438+C04438+C04438+C04438+C04438+C04230+C04230+C04230+C04230+C00157+C04230+C04230+C04230+C04230+C04230+C04230+C04230+C04230+C04230+C04230+C00065+C18126+C05974+C05974+C00681+C00681+C00670+C04230+C04230+C04230+C04230+C04230+C04230+C04438	https:\\www.genome.jp\dbget-bin\www_bget?map00564
KP_vs_Con	cAMP signaling pathway	ko04024	1	8	185	562	MEDN0372*210	C00416	https:\\www.genome.jp\dbget-bin\www_bget?map04024
KP_vs_Con	Phosphatidylinositol signaling system	ko04070	1	1	185	562	MEDN0372*210	C00416	https:\\www.genome.jp\dbget-bin\www_bget?map04070
KP_vs_Con	Phospholipase D signaling pathway	ko04072	3	8	185	562	MEDN0372*210;MEDN2393;MEDN2394	C00416+C00681+C00681	https:\\www.genome.jp\dbget-bin\www_bget?map04072
KP_vs_Con	Fc gamma R-mediated phagocytosis	ko04666	1	2	185	562	MEDN0372*210	C00416	https:\\www.genome.jp\dbget-bin\www_bget?map04666
KP_vs_Con	GnRH signaling pathway	ko04912	1	3	185	562	MEDN0372*210	C00416	https:\\www.genome.jp\dbget-bin\www_bget?map04912
KP_vs_Con	Fat digestion and absorption	ko04975	3	16	185	562	MEDN0372*210;MEDN2393;MEDN2394	C00416+C00681+C00681	https:\\www.genome.jp\dbget-bin\www_bget?map04975
KP_vs_Con	Pathways in cancer	ko05200	4	13	185	562	MEDN0372*210;MEDN2393;MEDN2394;MEDP2798	C00416+C00681+C00681+C00762	https:\\www.genome.jp\dbget-bin\www_bget?map05200
KP_vs_Con	Pancreatic cancer	ko05212	1	1	185	562	MEDN0372*210	C00416	https:\\www.genome.jp\dbget-bin\www_bget?map05212
KP_vs_Con	Choline metabolism in cancer	ko05231	23	56	185	562	MEDN0372*210;MEDP0494*269;MEDP1692*269;MEDP1346*272;MEDP0338*272;MEDP2792*272;MEDP1341*275;MEDP0495*275;MEDP1333*280;MEDP1334*280;MEDP1328*282;MEDP1330*282;MEDP2784*285;MEDP1325*285;MEDP1322*286;MEDP1321*286;MEDP0442;MEDP1337;MEDP1695;MEDP2746;MEDP2840;MEDP2846;MEDP2848	C00416+C04230+C04230+C04230+C04230+C00157+C04230+C04230+C04230+C04230+C04230+C04230+C04230+C04230+C04230+C04230+C00670+C04230+C04230+C04230+C04230+C04230+C04230	https:\\www.genome.jp\dbget-bin\www_bget?map05231
KP_vs_Con	Thermogenesis	ko04714	31	74	185	562	MEDP1656*264;MEDP1394*264;MEDP1382*266;MEDP0184;MEDP1084;MEDP1380;MEDP1381;MEDP1385;MEDP1386;MEDP1389;MEDP1390;MEDP1391;MEDP1393;MEDP1395;MEDP1398;MEDP1399;MEDP1401;MEDP1403;MEDP1405;MEDP1412;MEDP1434;MEDP1526;MEDP1528;MEDP1529;MEDP1530;MEDP2822;MEDP2861;MEDP2866;MEDP2867;MEDP2868;MEDP2869	C02301+C02301+C02301+C02465+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301+C02301	https:\\www.genome.jp\dbget-bin\www_bget?map04714
KP_vs_Con	Efferocytosis	ko04148	22	59	185	562	MEDP0494*269;MEDP1692*269;MEDP1346*272;MEDP0338*272;MEDP1341*275;MEDP0495*275;MEDP1333*280;MEDP1334*280;MEDP1328*282;MEDP1330*282;MEDP2784*285;MEDP1325*285;MEDP1322*286;MEDP1321*286;MEDP0020;MEDP1280;MEDP1337;MEDP1695;MEDP2746;MEDP2840;MEDP2846;MEDP2848	C04230+C04230+C04230+C04230+C04230+C04230+C04230+C04230+C04230+C04230+C04230+C04230+C04230+C04230+C00073+C00019+C04230+C04230+C04230+C04230+C04230+C04230	https:\\www.genome.jp\dbget-bin\www_bget?map04148
KP_vs_Con	Arachidonic acid metabolism	ko00590	1	7	185	562	MEDP2792*272	C00157	https:\\www.genome.jp\dbget-bin\www_bget?map00590
KP_vs_Con	Linoleic acid metabolism	ko00591	3	9	185	562	MEDP2792*272;MEDN0767;MEDN1144	C00157+C14826+C14767	https:\\www.genome.jp\dbget-bin\www_bget?map00591
KP_vs_Con	alpha-Linolenic acid metabolism	ko00592	2	4	185	562	MEDP2792*272;MEDN1416	C00157+C16326	https:\\www.genome.jp\dbget-bin\www_bget?map00592
KP_vs_Con	Retrograde endocannabinoid signaling	ko04723	1	4	185	562	MEDP2792*272	C00157	https:\\www.genome.jp\dbget-bin\www_bget?map04723
KP_vs_Con	Glycine, serine and threonine metabolism	ko00260	6	13	185	562	MEDN0009;MEDN0018;MEDN0019;MEDN0065;MEDN1695;MEDP0313	C00049+C00065+C00078+C01005+C00168+C00581	https:\\www.genome.jp\dbget-bin\www_bget?map00260
KP_vs_Con	Cysteine and methionine metabolism	ko00270	8	17	185	562	MEDN0009;MEDN0018;MEDN0065;MEDN0068;MEDP0020;MEDP0056;MEDP0401;MEDP1280	C00049+C00065+C01005+C00021+C00073+C01817+C00170+C00019	https:\\www.genome.jp\dbget-bin\www_bget?map00270
KP_vs_Con	Histidine metabolism	ko00340	5	8	185	562	MEDN0009;MEDN0012;MEDN1551;MEDP0437;MEDP2361	C00049+C00135+C02835+C05570+C20522	https:\\www.genome.jp\dbget-bin\www_bget?map00340
KP_vs_Con	Nicotinate and nicotinamide metabolism	ko00760	2	14	185	562	MEDN0009;MEDP0242	C00049+C00153	https:\\www.genome.jp\dbget-bin\www_bget?map00760
KP_vs_Con	Neuroactive ligand-receptor interaction	ko04080	8	20	185	562	MEDN0009;MEDN0208;MEDN0280;MEDN2393;MEDN2394;MEDP0184;MEDP0186;MEDP1795	C00049+C01598+C00245+C00681+C00681+C02465+C01829+C16512	https:\\www.genome.jp\dbget-bin\www_bget?map04080
KP_vs_Con	Sphingolipid metabolism	ko00600	2	3	185	562	MEDN0018;MEDP0871	C00065+C00836	https:\\www.genome.jp\dbget-bin\www_bget?map00600
KP_vs_Con	Glyoxylate and dicarboxylate metabolism	ko00630	6	11	185	562	MEDN0018;MEDN0046;MEDN0297;MEDN0326;MEDN0704;MEDN1695	C00065+C00064+C01127+C00898+C00036+C00168	https:\\www.genome.jp\dbget-bin\www_bget?map00630
KP_vs_Con	Sulfur metabolism	ko00920	2	7	185	562	MEDN0018;MEDN0280	C00065+C00245	https:\\www.genome.jp\dbget-bin\www_bget?map00920
KP_vs_Con	Sphingolipid signaling pathway	ko04071	2	3	185	562	MEDN0018;MEDP0871	C00065+C00836	https:\\www.genome.jp\dbget-bin\www_bget?map04071
