protein_group	protein_names	genes	description	Con1	Con2	Con3	Con4	Con5	Con6	Con7	Con8	Con9	Con10	Con11	Con12	Con13	Con14	Con15	KP1	KP2	KP3	KP4	KP5	KP6	KP7	KP8	KP9	KP10	KP11	KP12	KP13	KP14	KP15	CRKP1	CRKP2	CRKP3	CRKP4	CRKP5	CRKP6	CRKP7	CRKP8	CRKP9	CRKP10	CRKP11	CRKP12	CRKP13	CRKP14	CRKP15	QC_pool1	QC_pool2	QC_pool3
P08294	SODE_HUMAN	SOD3	Extracellular superoxide dismutase [Cu-Zn]	314842.0	287090.0	205059.0	376880.0	3098370.0	139536.0	234979.0	156755.0	193162.0	139080.0	146132.0	236719.0	88083.9	158848.0	204683.0	193271.0	284233.0	376380.0	194564.0	1015090.0	125190.0	108198.0	476474.0	145554.0	81810.1	279565.0	255010.0	140936.0	268816.0	580080.0	916312.0	154709.0	155685.0	459459.0	145504.0	135153.0	909150.0	480359.0	441684.0	390531.0	542885.0	243928.0	176658.0	265087.0	235859.0	357732.0	330978.0	324090.0
P08311	CATG_HUMAN	CTSG	Cathepsin G	60629.9	66570.0	16290.9	59184.1	12072.0	32892.9	22548.1	35509.9	18673.2	105237.0	68304.5	17392.9	71810.2	51410.6	30852.6	34999.1	21710.5	13636.4	89481.3			18681.3		25662.3	37931.0	60465.4	44056.6	20303.4	8991.94	71159.6	176686.0		24265.1	479910.0	26228.9	24170.5	80227.9	15055.7	195440.0	104811.0	18721.6	52374.7		58932.9	52459.8	65722.0	76332.9	79630.6
P08319	ADH4_HUMAN	ADH4	All-trans-retinol dehydrogenase [NAD(+)] ADH4				2397.66			17649.2				3195.34	16324.5	13841.2	5298.18			23815.9	30239.0	10050.2	44082.5		7934.66				5983.46	4661.44	6745.12	6774.88	8569.89	9818.47				13472.0	15848.6			7456.86	27916.3		14803.2	2682.35	11595.1	8925.1	6926.67	10643.7	4926.96
P08493	MGP_HUMAN	MGP	Matrix Gla protein	22170.6	32273.6	42568.6	22359.8	37138.4	43888.8	56291.9	22752.6	26087.8	22646.5	48671.8	65511.0	65825.9	43691.1	49790.9	29919.2	27241.7	27612.6	25474.2	47281.4	140575.0	145817.0	71930.7	13391.4	35316.0	46015.2	103479.0	21794.8	122051.0	45572.1	68578.1	54377.8	75235.2	11665.0	50117.6	81238.6	111022.0	174734.0	57628.6	77987.5	208605.0	13013.5	68329.5	10015.3	13069.9	44136.0	49914.6	49180.2
P08514	ITA2B_HUMAN	ITGA2B	Integrin alpha-IIb	103671.0	100769.0	77283.0	94987.7	76822.1	143314.0	28882.2	138630.0	79207.8	22433.0	27139.2	27602.6	45504.1	91817.8	23671.3	13480.8	17022.1	25913.8	117750.0			6882.63		58118.5	21316.3	178051.0	18634.1	53199.4	7704.89	99721.8	31717.0		7340.27	18423.4	14489.2	12894.7	60538.8	19106.3	52700.8	24073.7	20311.3	82525.0	4359.48	89988.6	76730.1	24815.3	24133.9	26359.7
P08519	APOA_HUMAN	LPA	Apolipoprotein(a)	347802.0	327443.0	317051.0	312646.0	134118.0	68754.0	326023.0	300663.0	339857.0	543067.0	48023.9	374105.0	203451.0	467106.0	50746.3	689500.0	276998.0	269398.0	499235.0	105383.0	512766.0	462493.0	121687.0	72459.1	49985.9	46521.9	11401.0	270254.0	300850.0	13003.1	213940.0	31141.5	100915.0	48066.6	71977.1	64349.4	59316.1	228007.0	12522.3	175164.0	217695.0	155398.0	28964.1	150855.0	184502.0	144863.0	139704.0	151073.0
P08567	PLEK_HUMAN	PLEK	Pleckstrin	224090.0	232566.0	38232.5	220288.0	66162.5	119091.0	11901.1	65524.9	26944.1	16347.7		18006.9	27497.6	29865.5	33394.2	13715.0	12969.9	9204.27	89686.5			5078.31		25262.6	9519.69	56237.2	12127.2	22636.8	6740.44	124615.0	31706.3		29686.7	18605.8	6832.21		83541.7	11711.2	38797.5	11273.1	11027.4	72474.2	3617.34	56232.0	61646.7	20936.4	21983.2	22553.1
P08571	CD14_HUMAN	CD14	Monocyte differentiation antigen CD14	801446.0	945777.0	706942.0	1001500.0	657186.0	583183.0	847530.0	372174.0	511834.0	405703.0	930474.0	829136.0	383376.0	446261.0	675892.0	314981.0	454839.0	492526.0	566870.0	905508.0	1528340.0	1002900.0	1439100.0	840320.0	651365.0	1066780.0	1559440.0	593259.0	1728660.0	1127070.0	1312880.0	1251110.0	704127.0	1019610.0	1178160.0	1144980.0	957494.0	1087290.0	1062760.0	905525.0	1076350.0	845860.0	1198580.0	803536.0	707400.0	686357.0	679312.0	721586.0
P08575	PTPRC_HUMAN	PTPRC	Receptor-type tyrosine-protein phosphatase C	4351.09	4406.33	5256.94	4771.23			5014.74	3460.75	3789.92		4099.89	6853.62							4858.47					4669.93	9847.62	4403.74	10099.5			5911.3	4784.78		2726.77	8683.53					8631.5									
P08581	MET_HUMAN	MET	Hepatocyte growth factor receptor	7586.7	7586.67	7996.76	10161.5	5652.36	7531.89	9592.68	4583.23	8547.05	8311.36	8120.62	8212.97	5386.29	9418.23	9469.28	10028.4	6673.81	7311.37	5381.39	17661.3	7475.91	7262.72	18790.2	6948.47	11640.3	7379.53	10726.1	10109.5	10660.2	13409.8	7605.1	11818.6	7870.56	6464.6	8591.58	11596.8	6288.22	6949.05	8672.58	9983.92	6640.9	11127.5	11931.2	12979.5	11636.4	8016.84	7927.93	10265.4
