comparison	kegg_pathway	description	gene_ratio	background_ratio	rich_factor	fold_enrichment	p_value	p_adjusted	protein_groups	genes	kegg_genes	count
CRKP_vs_Con		Fluid shear stress and atherosclerosis	11/169	29/853	0.3793103448275862	1.91450724341971	0.01669780323901633	0.1935427193613257	P08514/P07900/P55854/P18827/P14625/P05106/P08238/P14598/P05362/P19320/P07711	ITGA2B/HSP90AA1/SUMO3/SDC1/HSP90B1/ITGB3/HSP90AB1/NCF1/ICAM1/VCAM1/CTSL		11
CRKP_vs_Con		Human T-cell leukemia virus 1 infection	9/169	22/853	0.4090909090909091	2.064819795589026	0.01763842029525757	0.1955563989256817	P01137/P27797/P61769/Q99941/P27824/P05141/P05362/P10321/P63098	TGFB1/CALR/B2M/ATF6B/CANX/SLC25A5/ICAM1/HLA-C/PPP3R1		9
CRKP_vs_Con		Dilated cardiomyopathy	8/169	19/853	0.4210526315789473	2.125194643413267	0.02077467555230842	0.220730927743277	P01137/P63316/P05019/P08514/P02545/P17301/P05106/P05556	TGFB1/TNNC1/IGF1/ITGA2B/LMNA/ITGA2/ITGB3/ITGB1		8
CRKP_vs_Con		Cell adhesion molecules	13/169	38/853	0.3421052631578947	1.726720647773279	0.02399368111485474	0.2447355473715183	O75144/P12830/P13611/Q92692/P18827/P19022/P05362/P19320/P22223/P10321/P14151/Q13477/P05556	ICOSLG/CDH1/VCAN/NECTIN2/SDC1/CDH2/ICAM1/VCAM1/CDH3/HLA-C/SELL/MADCAM1/ITGB1		13
CRKP_vs_Con		Virion - Herpesvirus	3/169	4/853	0.75	3.785502958579882	0.02617416005861755	0.2567081082672106	P05106/P14735/Q92692	ITGB3/IDE/NECTIN2		3
CRKP_vs_Con		Hypertrophic cardiomyopathy	8/169	20/853	0.4	2.018934911242603	0.02889194712974151	0.270237866200316	P01137/P63316/P05019/P08514/P02545/P17301/P05106/P05556	TGFB1/TNNC1/IGF1/ITGA2B/LMNA/ITGA2/ITGB3/ITGB1		8
CRKP_vs_Con		Chemical carcinogenesis - receptor activation	5/169	10/853	0.5	2.523668639053254	0.0307329338031732	0.270237866200316	Q99941/P04899/P07900/P14625/P08238	ATF6B/GNAI2/HSP90AA1/HSP90B1/HSP90AB1		5
CRKP_vs_Con		Th17 cell differentiation	5/169	10/853	0.5	2.523668639053254	0.0307329338031732	0.270237866200316	P01137/P07900/P08238/Q14213/P63098	TGFB1/HSP90AA1/HSP90AB1/EBI3/PPP3R1		5
CRKP_vs_Con		Human papillomavirus infection	12/169	36/853	0.3333333333333333	1.682445759368836	0.03645371876824333	0.3098566095300683	P10451/P11047/P08514/P17301/P04275/P02452/P05106/P35442/P78509/P10321/P05556/P24821	SPP1/LAMC1/ITGA2B/ITGA2/VWF/COL1A1/ITGB3/THBS2/RELN/HLA-C/ITGB1/TNC		12
CRKP_vs_Con		Endometrial cancer	2/169	2/853	1.0	5.047337278106509	0.03906675693079933	0.3113132192923072	Q13418/P12830	ILK/CDH1		2
CRKP_vs_Con		Virion - Rotavirus	2/169	2/853	1.0	5.047337278106509	0.03906675693079933	0.3113132192923072	P05556/P17301	ITGB1/ITGA2		2
CRKP_vs_Con		Human cytomegalovirus infection	7/169	18/853	0.3888888888888889	1.962853385930309	0.04716767553507335	0.3561725750803402	P27797/P61769/Q99941/P04899/P05106/P10321/P63098	CALR/B2M/ATF6B/GNAI2/ITGB3/HLA-C/PPP3R1		7
CRKP_vs_Con		Prostate cancer	5/169	11/853	0.4545454545454545	2.29424421732114	0.04748967667737869	0.3561725750803402	P05019/P07900/P14625/P08238/P08254	IGF1/HSP90AA1/HSP90B1/HSP90AB1/MMP3		5
CRKP_vs_KP	hsa05170	Human immunodeficiency virus 1 infection	6/45	19/853	0.3157894736842105	5.985964912280702	0.0002489646764065294	0.03809159549019899	P63098/P63208/P10321/P61769/P27797/P0DP23	PPP3R1/SKP1/HLA-C/B2M/CALR/CALM1		6
CRKP_vs_KP	hsa04612	Antigen processing and presentation	5/45	18/853	0.2777777777777778	5.265432098765432	0.001672230433946448	0.08528375213126883	P10321/P61769/P27797/P07711/P27824	HLA-C/B2M/CALR/CTSL/CANX		5
CRKP_vs_KP	hsa05163	Human cytomegalovirus infection	5/45	18/853	0.2777777777777778	5.265432098765432	0.001672230433946448	0.08528375213126883	P63098/P10321/P61769/P27797/P0DP23	PPP3R1/HLA-C/B2M/CALR/CALM1		5
CRKP_vs_KP	hsa05166	Human T-cell leukemia virus 1 infection	5/45	22/853	0.2272727272727273	4.308080808080808	0.004380685416350256	0.1675612171753973	P63098/P10321/P61769/P27797/P27824	PPP3R1/HLA-C/B2M/CALR/CANX		5
CRKP_vs_KP	hsa05169	Epstein-Barr virus infection	4/45	15/853	0.2666666666666667	5.054814814814815	0.006029638493410236	0.1845069378983532	P61769/P16070/P10321/P27797	B2M/CD44/HLA-C/CALR		4
CRKP_vs_KP	hsa04145	Phagosome	7/45	47/853	0.148936170212766	2.823167848699764	0.008936504660143793	0.2278808688336667	P17301/O75015/P14598/P10321/P27797/P07711/P27824	ITGA2/FCGR3B/NCF1/HLA-C/CALR/CTSL/CANX		7
CRKP_vs_KP	hsa04070	Phosphatidylinositol signaling system	2/45	4/853	0.5	9.47777777777778	0.01526572118949282	0.3336650488560574	P29218/P0DP23	IMPA1/CALM1		2
CRKP_vs_KP	hsa04020	Calcium signaling pathway	4/45	20/853	0.2	3.791111111111111	0.01761337765257259	0.3368558476054507	P63316/P63098/P0DP23/Q15746	TNNC1/PPP3R1/CALM1/MYLK		4
CRKP_vs_KP	hsa04922	Glucagon signaling pathway	3/45	14/853	0.2142857142857143	4.061904761904762	0.03319758494827083	0.446567822460355	P14618/P63098/P0DP23	PKM/PPP3R1/CALM1		3
CRKP_vs_KP	hsa05167	Kaposi sarcoma-associated herpesvirus infection	3/45	16/853	0.1875	3.554166666666667	0.04743369861979386	0.446567822460355	P63098/P10321/P0DP23	PPP3R1/HLA-C/CALM1		3
CRKP_vs_KP	hsa04120	Ubiquitin mediated proteolysis	2/45	7/853	0.2857142857142857	5.415873015873015	0.04826394922483112	0.446567822460355	P63208/P22314	SKP1/UBA1		2
